Start,End,Duration,Type,Notes
7271,7273,2,1,
7294,7297,3,2,
7334,7336,2,1,
7353,7357,4,2,
7412,7415,3,2,3 Calls
7433,7434,1,2,
7450,7451,1,1,
7470,7474,4,2,3 Calls
7495,7501,6,2,3 Calls
7514,7517,3,2,
7532,7536,4,2,
7551,7555,4,2,
7578,7581,3,2,3 Calls
7597,7601,4,2,3 Calls
7614,7617,3,2,
7649,7653,4,2,3 Calls
7694,7699,5,2,3 Calls
7719,7722,3,2,
7772,7775,3,2,
7883,7886,3,2,3 Calls
7905,7910,5,2,3 Calls
7942,7948,6,2,3 Calls
8151,8152,1,1,
8200,8201,1,1,
8223,8225,2,1,
19563,19565,2,1,
19581,19583,2,1,
19622,19625,3,1,
19642,19644,2,1,
19665,19668,3,1,
19679,19682,3,1,
19698,19702,4,2,
19716,19721,5,2,
19731,19735,4,2,
19753,19759,6,2,4 calls
19774,19779,5,2,
19792,19796,4,2,
19813,19819,6,2,4 calls
19835,19839,4,2,
19852,19856,4,2,
19876,19882,6,2,5 calls
19898,19904,6,2,3 Calls
19918,19923,5,2,3 Calls
19934,19940,6,2,3 Calls
19954,19958,4,2,3 Calls
19971,19976,5,2,3 Calls
19994,20001,7,4,
20017,20022,5,2,3 Calls
20035,20040,5,2,3 Calls
20053,20058,5,2,3 Calls
20070,20074,4,2,3 Calls
20092,20097,5,2,5 calls
20109,20114,5,2,3 Calls
20127,20132,5,2,3 Calls
20143,20148,5,2,3 Calls
20159,20164,5,2,3 Calls
20183,20189,6,2,5 calls
20200,20205,5,2,3 Calls
20217,20222,5,2,3 Calls
20234,20239,5,2,4 calls
20250,20256,6,2,4 calls
20272,20277,5,2,3 Calls
20287,20293,6,2,4 calls
20310,20316,6,2,4 calls
20342,20346,4,2,4 calls
20358,20364,6,2,4 calls
20375,20380,5,2,3 Calls
20391,20397,6,2,4 calls
20408,20413,5,2,4 calls
20433,20439,6,2,6 calls
20453,20458,5,2,4 calls
20472,20477,5,2,4 calls
20488,20493,5,2,4 calls
20504,20510,6,2,4 calls
20522,20527,5,2,4 calls
20540,20545,5,2,4 calls
20557,20561,4,2,3 Calls
20573,20578,5,2,4 calls
20598,20604,6,2,6 calls
