Start,End,Duration,Type
4,358,354,3
415,652,237,3
839,3039,2200,3
4278,4534,256,5
4748,5021,273,3
5133,5608,475,3
6414,6535,121,3
7023,7117,94,3
7750,7758,8,3
8074,8094,20,3
8487,8930,443,5
9208,9290,82,5
9889,10113,224,5
10351,10402,51,5
11378,11472,94,3
12389,12514,125,3
14545,14721,176,5
15787,15932,145,5
16178,16233,55,3
17573,17745,172,3
18055,18161,106,3
18964,19054,90,3
20170,20178,8,3
20329,20337,8,3
20349,20355,6,3
20624,20676,52,3
20957,21007,50,3
22117,22141,24,3
22879,22927,48,3
23467,23497,30,3
24027,24066,39,3
25732,25779,47,3
26121,26141,20,3
27937,27978,41,3
